PassengerId,Survived,Pclass,Embarked,Gender
95,0,Lower Class,Southampton,Male
96,0,Lower Class,Southampton,Male
97,0,Upper Class,Cherbourg,Male
98,1,Upper Class,Cherbourg,Male
99,1,Middle Class,Southampton,Female
100,0,Middle Class,Southampton,Male
101,0,Lower Class,Southampton,Female
102,0,Lower Class,Southampton,Male
103,0,Upper Class,Southampton,Male
104,0,Lower Class,Southampton,Male
105,0,Lower Class,Southampton,Male
106,0,Lower Class,Southampton,Male
107,1,Lower Class,Southampton,Female
108,1,Lower Class,Southampton,Male
109,0,Lower Class,Southampton,Male
110,1,Lower Class,Queenstown,Female
111,0,Upper Class,Southampton,Male
112,0,Lower Class,Cherbourg,Female
113,0,Lower Class,Southampton,Male
114,0,Lower Class,Southampton,Female
115,0,Lower Class,Cherbourg,Female
116,0,Lower Class,Southampton,Male
117,0,Lower Class,Queenstown,Male
118,0,Middle Class,Southampton,Male
119,0,Upper Class,Cherbourg,Male
120,0,Lower Class,Southampton,Female
121,0,Middle Class,Southampton,Male
122,0,Lower Class,Southampton,Male
123,0,Middle Class,Cherbourg,Male
124,1,Middle Class,Southampton,Female
125,0,Upper Class,Southampton,Male
126,1,Lower Class,Cherbourg,Male
127,0,Lower Class,Queenstown,Male
128,1,Lower Class,Southampton,Male
129,1,Lower Class,Cherbourg,Female
130,0,Lower Class,Southampton,Male
131,0,Lower Class,Cherbourg,Male
132,0,Lower Class,Southampton,Male
133,0,Lower Class,Southampton,Female
134,1,Middle Class,Southampton,Female
135,0,Middle Class,Southampton,Male
136,0,Middle Class,Cherbourg,Male
137,1,Upper Class,Southampton,Female
138,0,Upper Class,Southampton,Male
139,0,Lower Class,Southampton,Male
140,0,Upper Class,Cherbourg,Male
141,0,Lower Class,Cherbourg,Female
142,1,Lower Class,Southampton,Female
143,1,Lower Class,Southampton,Female
144,0,Lower Class,Queenstown,Male
145,0,Middle Class,Southampton,Male
146,0,Middle Class,Southampton,Male
147,1,Lower Class,Southampton,Male
148,0,Lower Class,Southampton,Female
149,0,Middle Class,Southampton,Male
150,0,Middle Class,Southampton,Male
151,0,Middle Class,Southampton,Male
152,1,Upper Class,Southampton,Female
153,0,Lower Class,Southampton,Male
154,0,Lower Class,Southampton,Male
155,0,Lower Class,Southampton,Male
156,0,Upper Class,Cherbourg,Male
157,1,Lower Class,Queenstown,Female
158,0,Lower Class,Southampton,Male
159,0,Lower Class,Southampton,Male
160,0,Lower Class,Southampton,Male
161,0,Lower Class,Southampton,Male
162,1,Middle Class,Southampton,Female
163,0,Lower Class,Southampton,Male
164,0,Lower Class,Southampton,Male
165,0,Lower Class,Southampton,Male
166,1,Lower Class,Southampton,Male
167,1,Upper Class,Southampton,Female
168,0,Lower Class,Southampton,Female
169,0,Upper Class,Southampton,Male
170,0,Lower Class,Southampton,Male
171,0,Upper Class,Southampton,Male
172,0,Lower Class,Queenstown,Male
173,1,Lower Class,Southampton,Female
174,0,Lower Class,Southampton,Male
175,0,Upper Class,Cherbourg,Male
176,0,Lower Class,Southampton,Male
177,0,Lower Class,Southampton,Male
178,0,Upper Class,Cherbourg,Female
179,0,Middle Class,Southampton,Male
180,0,Lower Class,Southampton,Male
181,0,Lower Class,Southampton,Female
182,0,Middle Class,Cherbourg,Male
183,0,Lower Class,Southampton,Male
184,1,Middle Class,Southampton,Male
185,1,Lower Class,Southampton,Female
186,0,Upper Class,Southampton,Male
187,1,Lower Class,Queenstown,Female
188,1,Upper Class,Southampton,Male
189,0,Lower Class,Queenstown,Male
190,0,Lower Class,Southampton,Male
191,1,Middle Class,Southampton,Female
192,0,Middle Class,Southampton,Male
193,1,Lower Class,Southampton,Female
194,1,Middle Class,Southampton,Male
195,1,Upper Class,Cherbourg,Female
196,1,Upper Class,Cherbourg,Female
197,0,Lower Class,Queenstown,Male
198,0,Lower Class,Southampton,Male
199,1,Lower Class,Queenstown,Female
200,0,Middle Class,Southampton,Female
201,0,Lower Class,Southampton,Male
202,0,Lower Class,Southampton,Male
203,0,Lower Class,Southampton,Male
204,0,Lower Class,Cherbourg,Male
205,1,Lower Class,Southampton,Male
206,0,Lower Class,Southampton,Female
207,0,Lower Class,Southampton,Male
208,1,Lower Class,Cherbourg,Male
209,1,Lower Class,Queenstown,Female
210,1,Upper Class,Cherbourg,Male
211,0,Lower Class,Southampton,Male
212,1,Middle Class,Southampton,Female
213,0,Lower Class,Southampton,Male
214,0,Middle Class,Southampton,Male
215,0,Lower Class,Queenstown,Male
216,1,Upper Class,Cherbourg,Female
217,1,Lower Class,Southampton,Female
218,0,Middle Class,Southampton,Male
219,1,Upper Class,Cherbourg,Female
220,0,Middle Class,Southampton,Male
221,1,Lower Class,Southampton,Male
222,0,Middle Class,Southampton,Male
223,0,Lower Class,Southampton,Male
224,0,Lower Class,Southampton,Male
225,1,Upper Class,Southampton,Male
226,0,Lower Class,Southampton,Male
227,1,Middle Class,Southampton,Male
228,0,Lower Class,Southampton,Male
229,0,Middle Class,Southampton,Male
230,0,Lower Class,Southampton,Female
231,1,Upper Class,Southampton,Female
232,0,Lower Class,Southampton,Male
233,0,Middle Class,Southampton,Male
234,1,Lower Class,Southampton,Female
235,0,Middle Class,Southampton,Male
236,0,Lower Class,Southampton,Female
237,0,Middle Class,Southampton,Male
238,1,Middle Class,Southampton,Female
239,0,Middle Class,Southampton,Male
240,0,Middle Class,Southampton,Male
241,0,Lower Class,Cherbourg,Female
242,1,Lower Class,Queenstown,Female
243,0,Middle Class,Southampton,Male
244,0,Lower Class,Southampton,Male
245,0,Lower Class,Cherbourg,Male
246,0,Upper Class,Queenstown,Male
247,0,Lower Class,Southampton,Female
248,1,Middle Class,Southampton,Female
249,1,Upper Class,Southampton,Male
250,0,Middle Class,Southampton,Male
251,0,Lower Class,Southampton,Male
252,0,Lower Class,Southampton,Female
253,0,Upper Class,Southampton,Male
254,0,Lower Class,Southampton,Male
255,0,Lower Class,Southampton,Female
256,1,Lower Class,Cherbourg,Female
257,1,Upper Class,Cherbourg,Female
258,1,Upper Class,Southampton,Female
259,1,Upper Class,Cherbourg,Female
260,1,Middle Class,Southampton,Female
261,0,Lower Class,Queenstown,Male
262,1,Lower Class,Southampton,Male
263,0,Upper Class,Southampton,Male
264,0,Upper Class,Southampton,Male
265,0,Lower Class,Queenstown,Female
266,0,Middle Class,Southampton,Male
267,0,Lower Class,Southampton,Male
268,1,Lower Class,Southampton,Male
269,1,Upper Class,Southampton,Female
270,1,Upper Class,Southampton,Female
271,0,Upper Class,Southampton,Male
272,1,Lower Class,Southampton,Male
273,1,Middle Class,Southampton,Female
274,0,Upper Class,Cherbourg,Male
275,1,Lower Class,Queenstown,Female
276,1,Upper Class,Southampton,Female
277,0,Lower Class,Southampton,Female
278,0,Middle Class,Southampton,Male
279,0,Lower Class,Queenstown,Male
280,1,Lower Class,Southampton,Female
281,0,Lower Class,Queenstown,Male
282,0,Lower Class,Southampton,Male
283,0,Lower Class,Southampton,Male
284,1,Lower Class,Southampton,Male
285,0,Upper Class,Southampton,Male
286,0,Lower Class,Cherbourg,Male
287,1,Lower Class,Southampton,Male
288,0,Lower Class,Southampton,Male
289,1,Middle Class,Southampton,Male
290,1,Lower Class,Queenstown,Female
291,1,Upper Class,Southampton,Female
292,1,Upper Class,Cherbourg,Female
293,0,Middle Class,Cherbourg,Male
294,0,Lower Class,Southampton,Female
295,0,Lower Class,Southampton,Male
296,0,Upper Class,Cherbourg,Male
297,0,Lower Class,Cherbourg,Male
298,0,Upper Class,Southampton,Female
299,1,Upper Class,Southampton,Male
300,1,Upper Class,Cherbourg,Female
301,1,Lower Class,Queenstown,Female
302,1,Lower Class,Queenstown,Male
303,0,Lower Class,Southampton,Male
304,1,Middle Class,Queenstown,Female
305,0,Lower Class,Southampton,Male
306,1,Upper Class,Southampton,Male
307,1,Upper Class,Cherbourg,Female
308,1,Upper Class,Cherbourg,Female
309,0,Middle Class,Cherbourg,Male
310,1,Upper Class,Cherbourg,Female
311,1,Upper Class,Cherbourg,Female
312,1,Upper Class,Cherbourg,Female
313,0,Middle Class,Southampton,Female
314,0,Lower Class,Southampton,Male
315,0,Middle Class,Southampton,Male
316,1,Lower Class,Southampton,Female
317,1,Middle Class,Southampton,Female
318,0,Middle Class,Southampton,Male
319,1,Upper Class,Southampton,Female
320,1,Upper Class,Cherbourg,Female
321,0,Lower Class,Southampton,Male
322,0,Lower Class,Southampton,Male
323,1,Middle Class,Queenstown,Female
324,1,Middle Class,Southampton,Female
325,0,Lower Class,Southampton,Male
326,1,Upper Class,Cherbourg,Female
327,0,Lower Class,Southampton,Male
328,1,Middle Class,Southampton,Female
329,1,Lower Class,Southampton,Female
330,1,Upper Class,Cherbourg,Female
331,1,Lower Class,Queenstown,Female
332,0,Upper Class,Southampton,Male
333,0,Upper Class,Southampton,Male
334,0,Lower Class,Southampton,Male
335,1,Upper Class,Southampton,Female
336,0,Lower Class,Southampton,Male
337,0,Upper Class,Southampton,Male
338,1,Upper Class,Cherbourg,Female
339,1,Lower Class,Southampton,Male
340,0,Upper Class,Southampton,Male
341,1,Middle Class,Southampton,Male
342,1,Upper Class,Southampton,Female
343,0,Middle Class,Southampton,Male
344,0,Middle Class,Southampton,Male
345,0,Middle Class,Southampton,Male
346,1,Middle Class,Southampton,Female
347,1,Middle Class,Southampton,Female
348,1,Lower Class,Southampton,Female
349,1,Lower Class,Southampton,Male
350,0,Lower Class,Southampton,Male
351,0,Lower Class,Southampton,Male
352,0,Upper Class,Southampton,Male
353,0,Lower Class,Cherbourg,Male
354,0,Lower Class,Southampton,Male
355,0,Lower Class,Cherbourg,Male
356,0,Lower Class,Southampton,Male
357,1,Upper Class,Southampton,Female
358,0,Middle Class,Southampton,Female
359,1,Lower Class,Queenstown,Female
360,1,Lower Class,Queenstown,Female
361,0,Lower Class,Southampton,Male
362,0,Middle Class,Cherbourg,Male
363,0,Lower Class,Cherbourg,Female
364,0,Lower Class,Southampton,Male
365,0,Lower Class,Queenstown,Male
366,0,Lower Class,Southampton,Male
367,1,Upper Class,Cherbourg,Female
368,1,Lower Class,Cherbourg,Female
369,1,Lower Class,Queenstown,Female
370,1,Upper Class,Cherbourg,Female
371,1,Upper Class,Cherbourg,Male
372,0,Lower Class,Southampton,Male
373,0,Lower Class,Southampton,Male
374,0,Upper Class,Cherbourg,Male
375,0,Lower Class,Southampton,Female
376,1,Upper Class,Cherbourg,Female
377,1,Lower Class,Southampton,Female
378,0,Upper Class,Cherbourg,Male
379,0,Lower Class,Cherbourg,Male
380,0,Lower Class,Southampton,Male
381,1,Upper Class,Cherbourg,Female
382,1,Lower Class,Cherbourg,Female
383,0,Lower Class,Southampton,Male
384,1,Upper Class,Southampton,Female
385,0,Lower Class,Southampton,Male
386,0,Middle Class,Southampton,Male
387,0,Lower Class,Southampton,Male
388,1,Middle Class,Southampton,Female
389,0,Lower Class,Queenstown,Male
390,1,Middle Class,Cherbourg,Female
391,1,Upper Class,Southampton,Male
392,1,Lower Class,Southampton,Male
393,0,Lower Class,Southampton,Male
394,1,Upper Class,Cherbourg,Female
395,1,Lower Class,Southampton,Female
396,0,Lower Class,Southampton,Male
397,0,Lower Class,Southampton,Female
398,0,Middle Class,Southampton,Male
399,0,Middle Class,Southampton,Male
400,1,Middle Class,Southampton,Female
401,1,Lower Class,Southampton,Male
402,0,Lower Class,Southampton,Male
403,0,Lower Class,Southampton,Female
404,0,Lower Class,Southampton,Male
405,0,Lower Class,Southampton,Female
406,0,Middle Class,Southampton,Male
407,0,Lower Class,Southampton,Male
408,1,Middle Class,Southampton,Male
409,0,Lower Class,Southampton,Male
410,0,Lower Class,Southampton,Female
411,0,Lower Class,Southampton,Male
412,0,Lower Class,Queenstown,Male
413,1,Upper Class,Queenstown,Female
414,0,Middle Class,Southampton,Male
415,1,Lower Class,Southampton,Male
416,0,Lower Class,Southampton,Female
417,1,Middle Class,Southampton,Female
418,1,Middle Class,Southampton,Female
419,0,Middle Class,Southampton,Male
420,0,Lower Class,Southampton,Female
421,0,Lower Class,Cherbourg,Male
422,0,Lower Class,Queenstown,Male
423,0,Lower Class,Southampton,Male
424,0,Lower Class,Southampton,Female
425,0,Lower Class,Southampton,Male
426,0,Lower Class,Southampton,Male
427,1,Middle Class,Southampton,Female
428,1,Middle Class,Southampton,Female
429,0,Lower Class,Queenstown,Male
430,1,Lower Class,Southampton,Male
431,1,Upper Class,Southampton,Male
432,1,Lower Class,Southampton,Female
433,1,Middle Class,Southampton,Female
434,0,Lower Class,Southampton,Male
435,0,Upper Class,Southampton,Male
436,1,Upper Class,Southampton,Female
437,0,Lower Class,Southampton,Female
438,1,Middle Class,Southampton,Female
439,0,Upper Class,Southampton,Male
440,0,Middle Class,Southampton,Male
441,1,Middle Class,Southampton,Female
442,0,Lower Class,Southampton,Male
443,0,Lower Class,Southampton,Male
444,1,Middle Class,Southampton,Female
445,1,Lower Class,Southampton,Male
446,1,Upper Class,Southampton,Male
447,1,Middle Class,Southampton,Female
448,1,Upper Class,Southampton,Male
449,1,Lower Class,Cherbourg,Female
450,1,Upper Class,Southampton,Male
451,0,Middle Class,Southampton,Male
452,0,Lower Class,Southampton,Male
453,0,Upper Class,Cherbourg,Male
454,1,Upper Class,Cherbourg,Male
455,0,Lower Class,Southampton,Male
456,1,Lower Class,Cherbourg,Male
457,0,Upper Class,Southampton,Male
458,1,Upper Class,Southampton,Female
459,1,Middle Class,Southampton,Female
460,0,Lower Class,Queenstown,Male
461,1,Upper Class,Southampton,Male
462,0,Lower Class,Southampton,Male
463,0,Upper Class,Southampton,Male
464,0,Middle Class,Southampton,Male
465,0,Lower Class,Southampton,Male
466,0,Lower Class,Southampton,Male
467,0,Middle Class,Southampton,Male
468,0,Upper Class,Southampton,Male
469,0,Lower Class,Queenstown,Male
470,1,Lower Class,Cherbourg,Female
471,0,Lower Class,Southampton,Male
472,0,Lower Class,Southampton,Male
473,1,Middle Class,Southampton,Female
474,1,Middle Class,Cherbourg,Female
475,0,Lower Class,Southampton,Female
476,0,Upper Class,Southampton,Male
477,0,Middle Class,Southampton,Male
478,0,Lower Class,Southampton,Male
479,0,Lower Class,Southampton,Male
480,1,Lower Class,Southampton,Female
481,0,Lower Class,Southampton,Male
482,0,Middle Class,Southampton,Male
483,0,Lower Class,Southampton,Male
484,1,Lower Class,Southampton,Female
485,1,Upper Class,Cherbourg,Male
486,0,Lower Class,Southampton,Female
487,1,Upper Class,Southampton,Female
488,0,Upper Class,Cherbourg,Male
489,0,Lower Class,Southampton,Male
490,1,Lower Class,Southampton,Male
491,0,Lower Class,Southampton,Male
492,0,Lower Class,Southampton,Male
493,0,Upper Class,Southampton,Male
494,0,Upper Class,Cherbourg,Male
495,0,Lower Class,Southampton,Male
496,0,Lower Class,Cherbourg,Male
497,1,Upper Class,Cherbourg,Female
498,0,Lower Class,Southampton,Male
499,0,Upper Class,Southampton,Female
500,0,Lower Class,Southampton,Male
501,0,Lower Class,Southampton,Male
502,0,Lower Class,Queenstown,Female
503,0,Lower Class,Queenstown,Female
504,0,Lower Class,Southampton,Female
505,1,Upper Class,Southampton,Female
506,0,Upper Class,Cherbourg,Male
507,1,Middle Class,Southampton,Female
508,1,Upper Class,Southampton,Male
509,0,Lower Class,Southampton,Male
510,1,Lower Class,Southampton,Male
511,1,Lower Class,Queenstown,Male
512,0,Lower Class,Southampton,Male
513,1,Upper Class,Southampton,Male
514,1,Upper Class,Cherbourg,Female
515,0,Lower Class,Southampton,Male
516,0,Upper Class,Southampton,Male
517,1,Middle Class,Southampton,Female
518,0,Lower Class,Queenstown,Male
519,1,Middle Class,Southampton,Female
520,0,Lower Class,Southampton,Male
521,1,Upper Class,Southampton,Female
522,0,Lower Class,Southampton,Male
523,0,Lower Class,Cherbourg,Male
524,1,Upper Class,Cherbourg,Female
525,0,Lower Class,Cherbourg,Male
526,0,Lower Class,Queenstown,Male
527,1,Middle Class,Southampton,Female
528,0,Upper Class,Southampton,Male
529,0,Lower Class,Southampton,Male
530,0,Middle Class,Southampton,Male
531,1,Middle Class,Southampton,Female
532,0,Lower Class,Cherbourg,Male
533,0,Lower Class,Cherbourg,Male
534,1,Lower Class,Cherbourg,Female
535,0,Lower Class,Southampton,Female
536,1,Middle Class,Southampton,Female
537,0,Upper Class,Southampton,Male
538,1,Upper Class,Cherbourg,Female
539,0,Lower Class,Southampton,Male
540,1,Upper Class,Cherbourg,Female
541,1,Upper Class,Southampton,Female
542,0,Lower Class,Southampton,Female
543,0,Lower Class,Southampton,Female
544,1,Middle Class,Southampton,Male
545,0,Upper Class,Cherbourg,Male
546,0,Upper Class,Southampton,Male
547,1,Middle Class,Southampton,Female
548,1,Middle Class,Cherbourg,Male
549,0,Lower Class,Southampton,Male
550,1,Middle Class,Southampton,Male
551,1,Upper Class,Cherbourg,Male
552,0,Middle Class,Southampton,Male
553,0,Lower Class,Queenstown,Male
554,1,Lower Class,Cherbourg,Male
555,1,Lower Class,Southampton,Female
556,0,Upper Class,Southampton,Male
557,1,Upper Class,Cherbourg,Female
558,0,Upper Class,Cherbourg,Male
559,1,Upper Class,Southampton,Female
560,1,Lower Class,Southampton,Female
561,0,Lower Class,Queenstown,Male
562,0,Lower Class,Southampton,Male
563,0,Middle Class,Southampton,Male
564,0,Lower Class,Southampton,Male
565,0,Lower Class,Southampton,Female
566,0,Lower Class,Southampton,Male
567,0,Lower Class,Southampton,Male
568,0,Lower Class,Southampton,Female
569,0,Lower Class,Cherbourg,Male
570,1,Lower Class,Southampton,Male
571,1,Middle Class,Southampton,Male
572,1,Upper Class,Southampton,Female
573,1,Upper Class,Southampton,Male
574,1,Lower Class,Queenstown,Female
575,0,Lower Class,Southampton,Male
576,0,Lower Class,Southampton,Male
577,1,Middle Class,Southampton,Female
578,1,Upper Class,Southampton,Female
579,0,Lower Class,Cherbourg,Female
580,1,Lower Class,Southampton,Male
581,1,Middle Class,Southampton,Female
582,1,Upper Class,Cherbourg,Female
583,0,Middle Class,Southampton,Male
584,0,Upper Class,Cherbourg,Male
585,0,Lower Class,Cherbourg,Male
586,1,Upper Class,Southampton,Female
587,0,Middle Class,Southampton,Male
588,1,Upper Class,Cherbourg,Male
589,0,Lower Class,Southampton,Male
590,0,Lower Class,Southampton,Male
591,0,Lower Class,Southampton,Male
592,1,Upper Class,Cherbourg,Female
593,0,Lower Class,Southampton,Male
594,0,Lower Class,Queenstown,Female
595,0,Middle Class,Southampton,Male
596,0,Lower Class,Southampton,Male
597,1,Middle Class,Southampton,Female
598,0,Lower Class,Southampton,Male
599,0,Lower Class,Cherbourg,Male
600,1,Upper Class,Cherbourg,Male
601,1,Middle Class,Southampton,Female
602,0,Lower Class,Southampton,Male
603,0,Upper Class,Southampton,Male
604,0,Lower Class,Southampton,Male
605,1,Upper Class,Cherbourg,Male
606,0,Lower Class,Southampton,Male
607,0,Lower Class,Southampton,Male
608,1,Upper Class,Southampton,Male
609,1,Middle Class,Cherbourg,Female
610,1,Upper Class,Southampton,Female
611,0,Lower Class,Southampton,Female
612,0,Lower Class,Southampton,Male
613,1,Lower Class,Queenstown,Female
614,0,Lower Class,Queenstown,Male
615,0,Lower Class,Southampton,Male
616,1,Middle Class,Southampton,Female
617,0,Lower Class,Southampton,Male
618,0,Lower Class,Southampton,Female
619,1,Middle Class,Southampton,Female
620,0,Middle Class,Southampton,Male
621,0,Lower Class,Cherbourg,Male
622,1,Upper Class,Southampton,Male
623,1,Lower Class,Cherbourg,Male
624,0,Lower Class,Southampton,Male
625,0,Lower Class,Southampton,Male
626,0,Upper Class,Southampton,Male
627,0,Middle Class,Queenstown,Male
628,1,Upper Class,Southampton,Female
629,0,Lower Class,Southampton,Male
630,0,Lower Class,Queenstown,Male
631,1,Upper Class,Southampton,Male
632,0,Lower Class,Southampton,Male
633,1,Upper Class,Cherbourg,Male
634,0,Upper Class,Southampton,Male
635,0,Lower Class,Southampton,Female
636,1,Middle Class,Southampton,Female
637,0,Lower Class,Southampton,Male
638,0,Middle Class,Southampton,Male
639,0,Lower Class,Southampton,Female
640,0,Lower Class,Southampton,Male
641,0,Lower Class,Southampton,Male
642,1,Upper Class,Cherbourg,Female
643,0,Lower Class,Southampton,Female
644,1,Lower Class,Southampton,Male
645,1,Lower Class,Cherbourg,Female
646,1,Upper Class,Cherbourg,Male
647,0,Lower Class,Southampton,Male
648,1,Upper Class,Cherbourg,Male
649,0,Lower Class,Southampton,Male
650,1,Lower Class,Southampton,Female
651,0,Lower Class,Southampton,Male
652,1,Middle Class,Southampton,Female
653,0,Lower Class,Southampton,Male
654,1,Lower Class,Queenstown,Female
655,0,Lower Class,Queenstown,Female
656,0,Middle Class,Southampton,Male
657,0,Lower Class,Southampton,Male
658,0,Lower Class,Queenstown,Female
659,0,Middle Class,Southampton,Male
660,0,Upper Class,Cherbourg,Male
661,1,Upper Class,Southampton,Male
662,0,Lower Class,Cherbourg,Male
663,0,Upper Class,Southampton,Male
664,0,Lower Class,Southampton,Male
665,1,Lower Class,Southampton,Male
666,0,Middle Class,Southampton,Male
667,0,Middle Class,Southampton,Male
668,0,Lower Class,Southampton,Male
669,0,Lower Class,Southampton,Male
670,1,Upper Class,Southampton,Female
671,1,Middle Class,Southampton,Female
672,0,Upper Class,Southampton,Male
673,0,Middle Class,Southampton,Male
674,1,Middle Class,Southampton,Male
675,0,Middle Class,Southampton,Male
676,0,Lower Class,Southampton,Male
677,0,Lower Class,Southampton,Male
678,1,Lower Class,Southampton,Female
679,0,Lower Class,Southampton,Female
680,1,Upper Class,Cherbourg,Male
681,0,Lower Class,Queenstown,Female
682,1,Upper Class,Cherbourg,Male
683,0,Lower Class,Southampton,Male
684,0,Lower Class,Southampton,Male
685,0,Middle Class,Southampton,Male
686,0,Middle Class,Cherbourg,Male
687,0,Lower Class,Southampton,Male
688,0,Lower Class,Southampton,Male
689,0,Lower Class,Southampton,Male
690,1,Upper Class,Southampton,Female
691,1,Upper Class,Southampton,Male
692,1,Lower Class,Cherbourg,Female
693,1,Lower Class,Southampton,Male
694,0,Lower Class,Cherbourg,Male
695,0,Upper Class,Southampton,Male
696,0,Middle Class,Southampton,Male
697,0,Lower Class,Southampton,Male
698,1,Lower Class,Queenstown,Female
699,0,Upper Class,Cherbourg,Male
700,0,Lower Class,Southampton,Male
701,1,Upper Class,Cherbourg,Female
702,1,Upper Class,Southampton,Male
703,0,Lower Class,Cherbourg,Female
704,0,Lower Class,Queenstown,Male
705,0,Lower Class,Southampton,Male
706,0,Middle Class,Southampton,Male
707,1,Middle Class,Southampton,Female
708,1,Upper Class,Southampton,Male
709,1,Upper Class,Southampton,Female
710,1,Lower Class,Cherbourg,Male
711,1,Upper Class,Cherbourg,Female
712,0,Upper Class,Southampton,Male
713,1,Upper Class,Southampton,Male
714,0,Lower Class,Southampton,Male
715,0,Middle Class,Southampton,Male
716,0,Lower Class,Southampton,Male
717,1,Upper Class,Cherbourg,Female
718,1,Middle Class,Southampton,Female
719,0,Lower Class,Queenstown,Male
720,0,Lower Class,Southampton,Male
721,1,Middle Class,Southampton,Female
722,0,Lower Class,Southampton,Male
723,0,Middle Class,Southampton,Male
724,0,Middle Class,Southampton,Male
725,1,Upper Class,Southampton,Male
726,0,Lower Class,Southampton,Male
727,1,Middle Class,Southampton,Female
728,1,Lower Class,Queenstown,Female
729,0,Middle Class,Southampton,Male
730,0,Lower Class,Southampton,Female
731,1,Upper Class,Southampton,Female
732,0,Lower Class,Cherbourg,Male
733,0,Middle Class,Southampton,Male
734,0,Middle Class,Southampton,Male
735,0,Middle Class,Southampton,Male
736,0,Lower Class,Southampton,Male
737,0,Lower Class,Southampton,Female
738,1,Upper Class,Cherbourg,Male
739,0,Lower Class,Southampton,Male
740,0,Lower Class,Southampton,Male
741,1,Upper Class,Southampton,Male
742,0,Upper Class,Southampton,Male
743,1,Upper Class,Cherbourg,Female
744,0,Lower Class,Southampton,Male
745,1,Lower Class,Southampton,Male
746,0,Upper Class,Southampton,Male
747,0,Lower Class,Southampton,Male
748,1,Middle Class,Southampton,Female
749,0,Upper Class,Southampton,Male
750,0,Lower Class,Queenstown,Male
751,1,Middle Class,Southampton,Female
752,1,Lower Class,Southampton,Male
753,0,Lower Class,Southampton,Male
754,0,Lower Class,Southampton,Male
755,1,Middle Class,Southampton,Female
